name,stem,Adams filtration,weight,cell,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget
1,0,0,0,B,0,,h0,,h1,,h2,,
h0,0,1,0,B,0,,loc,,,,h0 h2,,
h1,1,1,1,B,0,,,,loc,,,,
h2,3,1,2,B,0,,h0 h2,,,,h2^2,,
h0 h2,3,2,2,B,0,,,,,,,,
_h1^4,5,3,3,T,0,,,,loc,,,,
h2^2,6,2,4,B,0,,,,,,h1^2 h3,,
h3,7,1,4,B,0,,h0 h3,,h1 h3,,,,
h0 h3,7,2,4,B,0,,h0^2 h3,,,,,,
h0^2 h3,7,3,4,B,0,,h0^3 h3,,,,,,
h0^3 h3,7,4,4,B,0,,,,,,,,
h1 h3,8,2,5,B,0,,,,h1^2 h3,,,,
c0,8,3,5,B,0,,,,loc,,,,
h1^2 h3,9,3,6,B,0,,,,,,,,
P h1,9,5,5,B,0,,,,loc,,,,
_h1^2 c0,11,4,6,T,0,h,P h2,,loc,h,h0 d0,,
P h2,11,5,6,B,0,,P h0 h2,,,,h0^2 d0,,
P h0 h2,11,6,6,B,0,,,,,,,,
_P h1^4,13,7,7,T,0,,,,loc,,,,
h3^2,14,2,8,B,0,,,,,,,,
d0,14,4,8,B,0,,h0 d0,,h1 d0,,h0 e0,,
h0 d0,14,5,8,B,0,,h0^2 d0,,,,,,
h0^2 d0,14,6,8,B,0,,,,,,,,
h0 h4,15,2,8,B,0,,h0^2 h4,,,,h0 h2 h4,3,h0 d0
h0^2 h4,15,3,8,B,0,,h0^3 h4,,,,,3,h0^2 d0
h0^3 h4,15,4,8,B,0,,h0^4 h4,,,,,,
h0^4 h4,15,5,8,B,1,,h0^5 h4,,,,,,
h1 d0,15,5,9,B,-1,,,,,,,,
h0^5 h4,15,6,8,B,0,,h0^6 h4,,,,,,
h0^6 h4,15,7,8,B,0,,h0^7 h4,,,,,,
h0^7 h4,15,8,8,B,0,,,,,,,,
h1 h4,16,2,9,B,0,,,,h1^2 h4,,,,
P c0,16,7,9,B,0,,,,loc,,,,
h1^2 h4,17,3,10,B,0,,,,h1^3 h4,,,,
h0 e0,17,5,10,B,0,,,,,,h0 h2 e0,,
P^2 h1,17,9,9,B,0,,,,loc,,,,
h2 h4,18,2,10,B,0,,h0 h2 h4,,,,h2^2 h4,,
h0 h2 h4,18,3,10,B,0,,,,,,,,
h1^3 h4,18,4,11,B,0,,,,,,,,
c1,19,3,11,B,0,,,,,,h2 c1,,
_P h1^2 c0,19,8,10,T,0,h,P^2 h2,,loc,,,,
P^2 h2,19,9,10,B,0,,P^2 h0 h2,,,,,,
P^2 h0 h2,19,10,10,B,0,,,,,,,,
t g,20,4,11,B,0,,,,t h1 g,,,,
h2 e0,20,5,12,B,0,,h0 h2 e0,,,,h0 h2 g,,
h0 h2 e0,20,6,12,B,0,,,,,,,,
h2^2 h4,21,3,12,B,0,,,,,,,,
t h1 g,21,5,12,B,0,,,,,,,,
_P^2 h1^4,21,11,11,T,0,,,,loc,,,,
h2 c1,22,4,13,B,0,,,,,,,,
c0 d0,22,7,13,B,0,,,,h1 c0 d0,,,,
h4 c0,23,4,13,B,0,,,,h1 h4 c0,,,,
h2 g,23,5,14,B,0,,h0 h2 g,,,,h2^2 g,,
h0 h2 g,23,6,14,B,0,,,,,,,,
h1 c0 d0,23,8,14,B,0,,,,,,,,
h0^2 i,23,9,12,B,0,,h0^3 i,,,,,,
h0^3 i,23,10,12,B,0,,h0^4 i,,,,,,
h0^4 i,23,11,12,B,0,,h0^5 i,,,,,,
h0^5 i,23,12,12,B,0,,,,,,,,
h1 h4 c0,24,5,14,B,0,,,,h1^2 h4 c0,,,,
P^2 c0,24,11,13,B,0,,,,loc,,,,
h1^2 h4 c0,25,6,15,B,0,,,,,,,,
P^3 h1,25,13,13,B,0,,,,loc,,,,
_h1^2 h4 c0,26,5,14,T,0,,,,,,,,
h2^2 g,26,6,16,B,0,,,,,,h1^2 h3 g,,
_P^2 h1^2 c0,27,12,14,T,0,h,P^3 h2,,loc,h,P^2 h0 d0,,
P^3 h2,27,13,14,B,0,,P^3 h0 h2,,,,P^2 h0^2 d0,,
P^3 h0 h2,27,14,14,B,0,,,,,,,,
h1 h3 g,28,6,17,B,0,,,,h1^2 h3 g,,,,
d0^2,28,8,16,B,0,,,,h1 d0^2,,,,
